ErrorCode,Description
167,USSD platform Unknown error
168,DND Blocked
169,MAP-P-Abort: Provider reasons
170,MAP-P-Abort Provider reason: Malfunction
171,MAP-P-Abort Provider reason: Dialog Released
172,'waiting queue in destination subscriber table is full'
173,MAP-P-Abort Provider reason: Abnormal Dialog
174,MAP-P-Abort: Invalid PDU
175,MAP-Open: Out of MAP dialogs
176,Invalid Service code
177,Subscriber MSISDN Blacklisted
178,Subscriber IMSI Blacklisted
179,Invalid Originating Address with Length greater than 20 chars
1793,EC_NC_responseRejectedByPeer
1794,EC_NC_abnormalEventReceivedFromPeer
1795,EC_NC_messageCannotBeDeliveredToPeer
1796,EC_NC_providerOutOfInvoke
180,MAP-Open Refuse reason: Node Not Reached
181,'service barred'
182,'operation barred'
183,VLRBlackListed
184,VLRWhiteListed
185,MAP-Notice Problem: Message Cannot Be Delivered
186,BILNG_SystemError
187,MAP-Notice: Abnormal event detected by peer
188,MAP-U-Abort: Error
189,MAP-U-Abort User Reason: User Specific Reason
190,MAP-U-Abort: User resource limitation
191,MAP-U-Abort: Resource unavailable (short term)
192,Unexpected session release from Servers/3rd party APP
193,'unknServCent'
194,'sc_Congestion'
195,'invaSME_Add'
196,'subsNotSC_Subsc'
197,Application Specific Error from Client
198,MAP-U-Abort: Application procedure cancellation (tandem dialogue released)
199,MAP-U-Abort: Application procedure cancellation (remote operations failure)
200,Operator is blocked for this account
2000,Make_Call API Failure
2001,Message too long
2002,Command length is invalid
2003,Command ID is invalid or not supported
2004,Incorrect bind status for given command
2005,Already bound
2006,Invalid Priority Flag
2007,Invalid registered delivery flag
2008,System error
201,Subscriber is unavailable because the SIM is detached from the network
2010,Invalid source address
2011,Invalid destination address
2012,Message ID is invalid
2013,Bind failed
2014,Invalid password
2015,Invalid System ID
2017,Cancelling message failed
2019,Message recplacement failed
202,Subscriber did not respond to the network
2020,Message queue full
2021,Invalid service type
2022,Invalid services type
203,Subscriber is busy
204,means incoming call facility is not working due to recharge
2048,EC_TIME_OUT
2049,EC_IMSI_BLACKLISTED
205,Subscriber is not authorized
2050,EC_DEST_ADDRESS_BLACKLISTED
2051,EC_InvalidMscAddress
2052,EC_BLACKLISTED_DESTINATIONADDRESS
206,Subscriber is unavailable for SMS
2064,Invalid destination flag
2066,Invalid submit with replace request
2067,Invalid esm class set
2068,Invalid submit to ditribution list
2069,Submitting message has failed
207,Mobile device is not recognized
2072,Invalid source address type of number ( TON )
2073,Invalid source address numbering plan ( NPI )
208,Roaming is not allowed
2080,Invalid destination address type of number ( TON )
2081,Invalid destination address numbering plan ( NPI )
2083,Invalid system type
2084,Invalid replace_if_present flag
2085,Invalid number of messages
2088,Throttling error
209,Subscriber is not authorized
2097,Invalid scheduled delivery time
2098,Invalid Validty Period value
2099,Predefined message not found
20A,Bearer Service Not Supported
20B,Tele Service Not Provisioned
20C,Error Equipment
20D,Call Barred
20E,Error Forward Violation
20F,Error CUG Reject
210,Device memory is full
2100,ESME Receiver temporary error
2101,ESME Receiver permanent error
2102,ESME Receiver reject message error
2103,Message query request failed
211,Mobile device communication error
212,Device does not support SMS
213,Service is not included in the subscription
214,Requested service is not compatible with this subscriber
215,Service is restricted while roaming
216,Internal system memory error
2168,DND Block
217,Internal message routing failure
218,'HLR:illegal subscriber'
219,'HLR:subscriber absent'
2192,Error in the optional part of the PDU body
2193,TLV not allowed
2194,Invalid parameter length
2195,Expected TLV missing
2196,Invalid TLV value
21A,Subsequent Handover Failure
21B,Absent Subscriber for MT
21C,Incompatible Terminal
21D,Short Term Denial
21E,Long Term Denial
21F,Subscriber Busy for MT
220,'HLR:the called MS poweroff'
221,MSISDN BLOCKED
222,MESSAGE CONTENT IS BLACKLISTED/EC_Network System Failure
223,Data Missing
224,Unexpected Data
225,MESSAGE CONTENT IS BLACKLISTED AT OPERATOR/ 'HLR:no response'
2254,Transaction delivery failure
2255,Unknown error
2256,ESME not authorised to use specified servicetype
2257,ESME prohibited from using specified operation
2258,Specified servicetype is unavailable
2259,Specified servicetype is denied
226,'VMSC:no response'
2260,Invalid data coding scheme
2261,Invalid source address subunit
2262,Invalid destination address subunit
227,IN Subscriber not exist1
228,'the destination subscriber PPS authentication overtime'
229,'IN Invalid subscriber'
22C,Number of PW attempts Violation
22D,Busy Subscriber
22E,No Subscriber Reply
22F,Forwarding Failed
230,Not Allowed
2300,Incorrect destination address
2301,Incorrect number of destination addresses
2302,Syntax error in user data parameter
2303,Incorrect bin/head/normal user data parameter combination
2304,Incorrect dcs parameter usage
2305,Incorrect validity period parameters usage
2306,Incorrect originator address usage
2307,Incorrect PID parameter usage
2308,Incorrect first delivery parameter usage
2309,Incorrect reply path usage
231,ATI Not Allowed
2310,Incorrect status report request parameter usage
2311,Incorrect cancel enabled parameter usage
2312,Incorrect priority parameter usage
2313,Incorrect tariff class parameter usage
2314,Incorrect service description parameter usage
2315,Incorrect transport type paramdeter usage
2316,Incorrect message type parameter usage
2318,Incorrect MMS parameter usage
2319,Incorrect operation timer parameter usage
